term,display_prefix,translation_text,explanation_text,part_of_speech,example_source,example_target,tags,difficulty,source
Barren,,bar,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bart,,beard,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Basis,,basis,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
bauen,,construct,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bauer,,farmer,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bäuerin,,farmer's wife,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bauernhof,,farm,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Baum,,tree,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Baumspitze,,top of the tree,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Baumstamm,,trunk of a tree,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Baumwolle,,cotton,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
baute,,built,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
Bauwerk,,structure,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
bdeckend,,covering,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
beabsichtigen,,intend,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
beachten,,notice,,,,,bulk-import,,hathibelagal-german-english-json-dictionary
